"country";"population";"co2.per.capita";"gni.per.capita";"life.expectancy";"hdi"
"Luxembourg";579000;1,19540728479365;4,92762183194233;82,6;0,93
"Madagascar";24894000;-0,869884681370952;3,17143390094301;64,5;0,501
"Malawi";17205000;-1,13425132640162;3,16613397030511;62,9;0,512
"Malaysia";30685000;0,905281749282054;4,42582756362451;74,9;0,803
"Maldives";476000;0,481960240513128;4,18887226077134;79,9;0,747
"Mali";17965000;-0,762085968285694;3,32899085544943;58,9;0,428
"Malta";436000;0,506331225223241;4,58977093445827;83,8;0,918
"Marshall Islands";58000;0,391908043902125;3,66464197555613;65,3;0,639
"Mauritania";4164000;-0,178129835921987;3,70543604658525;64,4;0,556
"Mauritius";1262000;0,53703036707639;4,34291591708409;73,6;0,802
"Mexico";123333000;0,59433010300534;4,25275597108857;70,2;0,758
"Mongolia";3056000;0,918378954945781;4,02481393262931;71;0,739
"Montenegro";627000;0,507007509646412;4,31887687466098;76,3;0,832
"Morocco";35126000;0,239928904894466;3,86350130064145;74;0,683
"Mozambique";27830000;-0,556558502525242;3,07845681805329;59,3;0,446
"Myanmar";53045000;-0,318632560333896;3,58557351862273;65,7;0,585
"Namibia";2358000;0,242774855852408;3,93621204432025;59,3;0,615
"Nepal";27263000;-0,489072252996526;3,58849580100721;68,4;0,602
"Netherlands";16981000;0,990881977475991;4,74802513603152;81,7;0,941
"New Zealand";4659000;0,866596047780588;4,64401492114422;82,5;0,937
"Nicaragua";6304000;-0,0633791055767698;3,7501225267834;73,8;0,667
"Niger";20789000;-1,00312390628842;3,09342168516224;61,6;0,4
"Nigeria";185960000;-0,202073380637861;3,68033551341456;52,7;0,535
"North Macedonia";2081000;0,526018663042716;4,20188850036597;73,8;0,77
"Norway";5251000;0,927854408204842;4,81063570027554;83,2;0,961
"Oman";4479000;1,12720898424104;4,43223148569021;72,5;0,816
"Pakistan";203631008;-0,00103563571072929;3,66501782541247;66,1;0,544
"Panama";4037000;0,413597475909034;4,43067155863699;76,2;0,805
"Papua New Guinea";8272000;-0,0928990822851326;3,60303605625052;65,4;0,558
"Paraguay";6778000;0,0234473713115912;4,09163179062681;70,3;0,717
"Peru";30926000;0,228675886329045;4,08799425509971;72,4;0,762
"Philippines";103664000;0,0715747200944206;3,95036485437612;69,3;0,699
"Poland";37989000;0,930901892928335;4,51896116444976;76,5;0,876
"Portugal";10326000;0,68898069727406;4,52054903224803;81;0,866
"Qatar";2654000;1,58543522677897;4,94018765134675;79,3;0,855
"Romania";19796000;0,583166237329071;4,47751194396957;74,2;0,821
"Rwanda";11669000;-1,04708695816342;3,34439227368511;66,1;0,534
"Saint Kitts and Nevis";52000;0,660573613421713;4,36843565410181;71,7;0,777
"Saint Lucia";180000;0,267171728403014;4,08091495885663;71,1;0,715
"Saint Vincent and the Grenadines";109000;0,365694023235195;4,07776749038206;69,6;0,751
"Samoa";195000;0,0991314730020143;3,7249309141924;72,8;0,707
"Sao Tome and Principe";203000;-0,224710667596763;3,60433407310291;67,6;0,618
"Saudi Arabia";32443000;1,24150432371952;4,6638139591339;76,9;0,875
"Senegal";14994000;-0,182084639896107;3,52426626876698;67,1;0,511
"Serbia";8854000;0,706420292817878;4,28155602503437;74,2;0,802
"Seychelles";96000;0,791515211941626;4,41214121941665;71,3;0,785
"Sierra Leone";7329000;-0,896095040711756;3,21005084987514;60,1;0,477
"Singapore";5654000;0,852679744937755;4,95865465036056;82,8;0,939
"Slovakia";5442000;0,807340570559182;4,48699688843182;74,9;0,848
